ISO3,Party,A2,Source,Disaggregation,Data Type,Notes
EUE,EU,0.455,National data,Natural and semi-natural,Land cover,Used Corine Land cover data 
UGA,Uganda,Unclear,National data,None,Mixed data,Only data for forests and wetlands
LSO,Lesotho,0.8002,National data,GET,Ecosystem map,Used Global Ecosystem Atlas
CHE,Switzerland,No data available,NA,None,None,Eurostat Typology will be available from 2027 and updated annually
SDN,Sudan,0.943468,National data,None,Land cover,"Unclear, but seems to be landcover data "
JPN,Japan,No data available,NA,None,None,No extra context
FIN,Finland,0.8972,National data,GET,Land cover,"Used Corine Land cover data 2018, crosswalked to GET"
TGO,Togo,No data available,NA,None,Mixed data,Reported 24.4% forest cover (including planted areas)
GMB,The Gambia,No data available,NA,None,Land cover,"Baseline land cover data exists, but updated national ecosystem extent statistics aligned with GBF definitions are pending."
NGA,Nigeria,0.779,National data,Ecosystem type,Mixed data,"Global Forest Watch, Scientific paper, FAO, estimates - no single map"
NZL,New Zealand,0.7877,National data,None,Ecosystem map,Based on National Ecosystem map (should be ready in March 2026 for Global Ecosystems Atlas)
SWE,Sweden,0.940792,National data,Landcover classes,Land cover,"2023 National Land Cover Data, Statistics, Sweden (data for 2018 = 94.13%)"
KAZ,Kazakhstan,No data available,NA,None,None,"Only have data for forests and protected areas, which are legally mandated"
IND,India,No data available,NA,None,None,"Claims that data are available for some ecosystems, but not compatible with IUCN GET"
TUN,Tunisia,0.6917,National data,None,Land cover,"Uses UNBL land cover data (ESA, excluding cropland and urban)"
NLD,Netherlands,0.25676,National data,GET,Ecosystem map,VErye detailed disaggregation for period 2016-2023
ARM,Armenia,No data available,NA,None,None,Claim to have no data
SOM,Somalia,No data available,NA,None,None,No data availability
VEN,Venezuela,Unclear,National data,Ecosystem type,Ecosystem map,"Ecosystem data from 2010, explain that updating this map is a priority. Unclear whether the area statistics are accurate, becasue the values are too low for the units in hectares."
MHL,Marshall Islands,No data available,NA,None,None,Deferred to 8th NR as there is no continuous ecosystem monitoring
IDN,Indonesia,No data available,NA,None,None,An in-depth analysis is required to determine which ecosystem types can be classified as the extent of natural ecosystems as restored ecosysytems are not considered natural by Indonesian la
THA,Thailand,Unclear,National data,GET,Inventory data,"Extent data for forest , seagrass, and coral from inventories (2020-2024); total area not reported"
ITA,Italy,No data available,NA,None,None,Ecosystem accounts are legally mandated by EU and will be reported at end of 2026
MDG,Madagascar,0.939166,National data,None,Land cover,"Value in hectares is given based on ESA landscover (natural classes not identified), but total area not reported. Used 587295 km2 from World Bank"
MAR,Morocco,Unclear,National data,None,None,"Simple statment of 9 million hectares of forest, steppe, and desert (total area not reported)"
HUN,Hungary,No data available,NA,None,None,Data might be provided later
BDI,Burundi,Unclear,National data,None,None,"Unchanging value (in hectares) is given, but not described (Total area not reported)"
RUS,Russia,No data available,NA,None,None,No data available
KHM,Cambodia,No data available,NA,None,None,Cambodia will use global dataset for this KM-GBF Goal A.2. Extent of natural ecosystems when it is available.
ETH,Ethiopia,No data available,NA,None,None,Data and information were collected from respective lead implementing and other concerned institutions and there is no consolidated database
LKA,Sri Lanka,No data available,NA,None,None,"The raw datasets for development of indicators A.1 and A.2 are available to a considerable degree but await identification and filling of data gaps, data cleaning and national level validation through a participatory approach."
BLR,Belarus,No data available,NA,None,None,"The indicator does not correspond to the national statistical indicators, the collection and analysis of which is carried out in the Republic of Belarus"
BEL,Belgium,0.436332707,National data,Biome,Land cover,Likely over-estimate becasue it only exludes settlements and croplands as non-natural(pastures probbaly included under grassland)
TUR,Turkey,No data available,NA,None,None,"Data unavailable, particularly for marine realm"
DOM,Dominican Republic,No data available,NA,None,None,Data to be completed later
DEU,Germany,No data available,NA,None,None,The German data is not yet compatible with the UN metadata. The indicator has to be developed.
