ISO3,ADM0_NAME,Shape_Area,class_1_proportion,class_1_area_m2,total_area_m2
MNE,Montenegro,1.515636287,0.67346395,9.28E+09,1.38E+10
SRB,Serbia,9.934731078,0.368130663,3.26E+10,8.85E+10
SSD,South Sudan,51.59916636,0.972249806,6.12E+11,6.30E+11
SDN,Sudan,155.8888017,0.841746086,1.55E+12,1.84E+12
#N/A,Taiwan,3.199820968,0.511747204,1.85E+10,3.61E+10
NFK,Norfolk Island,0.003527806,0,0,3.81E+07
#N/A,Cocos (Keeling) Islands,0.001309633,0,0,1.52E+07
#N/A,Christmas Island,0.011214225,0.090282319,1.23E+07,1.36E+08
#N/A,Ashmore and Cartier Islands,5.72E-05,0.74462375,489578.1558,657483.9382
#N/A,Faroe Islands,0.240299466,0.939785954,1.32E+09,1.40E+09
MYT,Mayotte,0.031498717,0.817978044,3.09E+08,3.78E+08
REU,Réunion,0.217752737,0.985480492,2.47E+09,2.50E+09
#N/A,Tromelin Island,7.49E-05,0.868300944,752568.2327,866713.5947
#N/A,Juan de Nova Island,4.67E-04,0.79763374,4147160.316,5199329.1
#N/A,Glorioso Island,4.08E-04,0.872305533,4426881.021,5074920.257
#N/A,Europa Island,0.002168372,0.866715781,2.17E+07,2.50E+07
#N/A,Bassas da India,9.17E-05,0,0,905824.9342
#N/A,Clipperton Island,7.31E-04,0.303630119,2671381.616,8798144.348
#N/A,Saint Pierre et Miquelon,0.027541229,0.87628746,2.04E+08,2.33E+08
#N/A,French Southern and Antarctic Territories,0.948364216,0.876853327,6.76E+09,7.71E+09
#N/A,Wallis and Futuna,0.011832746,0.285741894,4.05E+07,1.42E+08
PYF,French Polynesia,0.334904216,0.316874122,1.25E+09,3.96E+09
MOZ,Mozambique,67.05893933,0.822456279,6.48E+11,7.87E+11
MUS,Mauritius,0.173992102,0.870887357,1.76E+09,2.02E+09
MWI,Malawi,9.905566828,0.534451588,6.34E+10,1.19E+11
RWA,Rwanda,2.06385242,0.24960536,6.34E+09,2.54E+10
SOM,Somalia,51.76661185,0.952191608,6.02E+11,6.33E+11
ZMB,Zambia,62.74428077,0.857035032,6.44E+11,7.51E+11
KEN,Kenya,47.3457704,0.796149244,4.64E+11,5.82E+11
MDG,Madagascar,50.71776029,0.879378154,5.18E+11,5.89E+11
SYC,Seychelles,0.040891758,0.431072975,2.16E+08,5.01E+08
TZA,United Republic of Tanzania,76.86026553,0.675882899,6.35E+11,9.40E+11
UGA,Uganda,19.62967364,0.479903465,1.16E+11,2.41E+11
ZWE,Zimbabwe,33.53068946,0.669266959,2.61E+11,3.91E+11
ETH,Ethiopia,92.86925845,0.714349367,8.07E+11,1.13E+12
ERI,Eritrea,10.16795783,0.915545501,1.11E+11,1.21E+11
DJI,Djibouti,1.797112015,0.993782027,2.15E+10,2.17E+10
COM,Comoros,0.137047797,0.85694673,1.42E+09,1.65E+09
BDI,Burundi,2.18565172,0.424415725,1.14E+10,2.69E+10
GAB,Gabon,21.45668442,0.988868751,2.61E+11,2.64E+11
GNQ,Equatorial Guinea,2.194565328,0.970238824,2.62E+10,2.70E+10
TCD,Chad,106.6902005,0.903130244,1.14E+12,1.26E+12
STP,Sao Tome and Principe,0.080505756,0.073301787,7.26E+07,9.91E+08
COG,Congo,27.69578809,0.9769171,3.33E+11,3.41E+11
COD,Democratic Republic of the Congo,189.9981073,0.916608856,2.13E+12,2.33E+12
CMR,Cameroon,38.02267672,0.844203212,3.93E+11,4.65E+11
CAF,Central African Republic,50.68032502,0.97934639,6.07E+11,6.20E+11
AGO,Angola,103.7558552,0.931646928,1.16E+12,1.25E+12
MAR,Morocco,39.47135577,0.71808494,2.97E+11,4.14E+11
LBY,Libya,147.6465751,0.982194305,1.59E+12,1.62E+12
TUN,Tunisia,15.16823248,0.634555194,9.85E+10,1.55E+11
EGY,Egypt,89.07911335,0.942778045,9.26E+11,9.82E+11
DZA,Algeria,212.6930968,0.952429505,2.20E+12,2.31E+12
NAM,Namibia,72.24552504,0.976564717,8.05E+11,8.24E+11
SWZ,Swaziland,1.566238512,0.517868477,8.95E+09,1.73E+10
LSO,Lesotho,2.835667362,0.718255656,2.19E+10,3.05E+10
ZAF,South Africa,113.1316266,0.834720032,1.02E+12,1.22E+12
